name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Jati Mas,"Jl. Wr. Jati Timur Raya No.83 8, RT.8/RW.4, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,(021) 79193671,134.0,4.6,-6.1943744,106.6467891
Cahaya Lestari,"Jl. Delman Utama I No.7, RT.1/RW.11, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",,(021) 7200411,45.0,4.9,-6.1943744,106.6467891
Bangun Jaya,"Jl. Raya Pasar Minggu No.43, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",,(021) 7996910,34.0,4.2,-6.1943744,106.6467891
Toko Bahan Bangunan Aneka Maju,"Blok i14 8, Jl. Pd. Kelapa Raya No.8, RT.7/RW.9, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450",,(021) 8651606,21.0,4.5,-6.2366944,106.7900278
Toko Bangunan Sinar Surya,"Jl. H. Ten Raya No.11 5, RT.5/RW.1, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",,(021) 4897282,29.0,4.5,-6.2366944,106.7900278
Toko Bangunan Berkah - UD Berkah,"Jl. Rawajati Timur I No.12, RT.5/RW.1, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",,(021) 7973470,13.0,4.9,-6.2579532,106.7122155
Toko SUKA JAYA,"Jl. Lautze No.162a 7, RT.1/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",,,21.0,4.7,-6.2579532,106.7122155
Diton Premium - Material Toko Bintang Sakti,"Jl. Kebagusan Raya No.25, RT.11/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",,,41.0,4.6,-6.2579532,106.7122155
TB. MAJU,"Kecamatan:, Kelurahan: Bangka, Jl. Kemang Raya No.92, RT.:10.Rw:2/RW.2, Kec. Mampang Prpt., Daerah Khusus Ibukota Jakarta 12730",,(021) 71793609,22.0,4.7,-6.2579532,106.7122155
Toko Bangunan Fajar,"Jl. Cempaka Putih Barat II No.28A, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",,(0428) 01747,191.0,4.5,-6.2579532,106.7122155
Duta Bangunan,"No. 8 D, Jl. Pejaten Raya, RT.13/RW.2, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",,,18.0,4.5,-6.2579532,106.7122155
Toko Bangunan Restu Jaya,"No Jl. Buncit Raya No.3 4, RT.4/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",,(021) 7992870,7.0,4.6,-6.2579532,106.7122155
Toko Bangunan Hari Hari Daan Mogot,"Jl. Daan Mogot No.351A, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,0896-5380-0977,52.0,4.9,-6.164675,106.6366844
