name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Agung Bangunan II,"TB Agung Bangunan 2, Jl. Dukuh V No.17A, RT.1/RW.4, Dukuh, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13550",agungbangunan2.com,(021) 8412370,,4.9,-6.3531903,106.6670528
Toko Bangunan Hidup Makmur,"Jl. H.Remaih No.30 4, RT.4/RW.7, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",,(021) 8411119,,4.5,-6.3531903,106.6670528
Toko Bangunan Hidup Baru,"Jl. Cinere Raya No.101, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514",,(021) 7540580,,4.5,-6.3531903,106.6670528
UD. ARIF JAYA,"Jl. Batu Ampar V NO. 51, Jl. Batu Ampar, RT.14/RW.5, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 8094323,,4.6,-6.3531903,106.6670528
TB Sinar Harapan,"Jl. Poltangan Raya No.3, RT.1/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530",,(021) 78835385,,4.4,-6.3531903,106.6670528
TB Persada,"Jl. Pengadegan Selatan No.3 1, RT.1/RW.4, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",,(021) 79194303,,4.4,-6.3531903,106.6670528
Tb Maju,"Jl. Ampera Raya No.32, RT.2/RW.9, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",,,,4.2,-6.3531903,106.6670528
Toko Bangunan Bukit Permai,"Jl. Lap. Tembak No.1, RT.12/RW.2, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",wa.me,0858-1370-9463,,4.1,-6.3531903,106.6670528
Tb Makmur Sejati,"Jl. Gardu No.32 9, RT.9/RW.3, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530",,,,4.9,-6.3531903,106.6670528
Toko Bangunan Bintang Mas,"Jl. Tanjung Duren Utara I I No.4, RT.9/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,0878-0878-0871,,4.6,-6.1725934,106.6426509
Toko Bangunan Tunas Jaya Mekarsari,"Jl. Raya Jakarta-Bogor No.85, RT.7/RW.1, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat 16451",,0811-9315-566,,4.7,-6.3652987,106.715196
Tb. Berdikari,"Jl. Ciputat Raya No.333, RT.2/RW.3, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",,0817-783-688,,4.6,-6.2437167,106.6364962
Toko bangunan universal,"Jl. Panjang Kp. Baru No.26, Sukabumi Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560",tbuniversal.com,0811-1900-096,,4.8,-6.2437167,106.6364962
Toko Bangunan TB Villa Terusan,"Jl. Pd. Cabe 1 Jl. Villa Terusan No.8A, Pd. Cabe Ilir, Kec. Pamulang, Kota Tangerang Selatan, Banten 15419",,(021) 74715456,,4.6,-6.2437167,106.6364962
Toko Bangunan Sederhana,"Jalan. Lantai Jl. Guntur No.2 8, RT.8/RW.1, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970",,0821-8349-5280,,4.9,-6.2437167,106.6364962
Toko Bangunan MAJU,"Jl. Kramat Sentiong No.36B, RT.8/RW.7, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",,(021) 3102036,,4.6,-6.2437167,106.6364962
Toko Bangunan Mekar Jaya,"Jl. Ciputat Raya No.16 1, RT.1/RW.2, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310",,(021) 7650780,,4.7,-6.2437167,106.6364962
Toko Bangunan Tunas Jaya,"Jl. Pengantin Ali No.8, RT.8/RW.6, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740",,,,4.4,-6.3196754,106.7391074
Toko Duta Bangunan,"Jl. Panglima Polim No.42A, RT.9/RW.7, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",,(021) 7206242,,4.3,-6.250998,106.6531014
Toko Bangunan Cinere Terlengkap - Mitra10 Cinere,"Jl. Cinere Raya, RT.001/RW.08, Gandul, Kec. Cinere, Kota Depok, Jawa Barat 16514",mitra10.com,0878-8210-25853,,4.3,-6.250998,106.6531014
Toko Bahan Bangunan,"MRJ7+4RP, Jl. Durian, RT.4/RW.4, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",,,,4.4,-6.250998,106.6531014
Cahaya Lestari,"Jl. Delman Utama I No.7, RT.1/RW.11, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",,(021) 7200411,,4.9,-6.250998,106.6531014
Toko Sultan Agung,"Jl. Sultan Agung No.30, RT.1/RW.1, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980",,0838-5031-1313,,4.7,-6.250998,106.6531014
Toko Bangunan Setia Usaha,"Seberang BCA Fatmawati, Jl. RS. Fatmawati Raya No.7D, RT.3/RW.4, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420",,(021) 7503594,,5.0,-6.250998,106.6531014
Matrial Toko Karya Selatan,"Jl. Duren Tiga Selatan No.79 8, RT.8/RW.3, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",,0821-5623-6162,,5.0,-6.250998,106.6531014
Cahaya Makmur Toko,"JL. Swadaya 1-C RT 008/09, Pondok Labu, RT.5/RW.10, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450",,(021) 75900772,,,-6.250998,106.6531014
TB Guna Bangunan,"Jl. Gongseng Raya No.9, RT.7/RW.7, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",,(021) 87706013,,4.7,-6.250998,106.6531014
